Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Min distance,Velocity at min distance,Critical
256,32.237850,2.878033,278.177099,2.003932,1.540647,-2.878033,0
257,93.956722,2.819431,172.564926,1.631477,1.038226,-2.819431,0
258,164.798659,1.047433,220.185199,2.520672,0.547553,-1.047433,0
259,52.282150,2.260626,254.696826,1.879475,0.947688,-2.260626,0
260,32.364590,2.129289,278.177099,2.001425,0.565832,-2.129289,0
261,164.798659,1.047402,220.185199,2.516932,0.512759,-1.047402,0
262,82.141717,2.254594,224.304274,2.121331,0.667288,-2.254594,0
263,31.406394,2.877838,276.284175,2.013438,1.739834,-2.877838,0
264,31.158504,2.878033,275.758392,2.013438,1.762700,-2.878033,0
265,52.612173,2.296223,244.520966,1.799722,1.658502,-2.296223,0
266,46.672593,2.120980,264.879506,1.789200,0.634149,-2.120980,0
267,164.798659,1.047402,220.185199,2.520672,0.542896,-1.047402,0
268,159.881894,1.042803,220.185199,2.520672,0.525674,-1.042803,0
269,82.141717,2.254594,224.304274,2.117591,0.681027,-2.254594,0
270,31.406394,2.878033,274.925139,2.013438,1.832943,-2.878033,0
271,167.443072,1.047402,220.185199,2.520672,0.636865,-1.047402,0
272,95.652929,2.203588,205.217146,2.125863,1.085883,-2.203588,0
273,31.406394,2.878033,274.925139,1.982133,1.866250,-2.878033,0
274,96.489532,1.038705,220.185199,1.628752,1.036276,-1.038705,0
275,46.141704,1.065370,246.760408,1.798811,1.404388,-1.065370,0
276,73.293503,1.740764,220.996666,2.123632,2.016426,-1.740764,0
277,32.237850,2.878033,270.507128,2.003932,2.055387,-2.878033,0
278,46.315258,1.065370,244.520966,1.799722,1.668399,-1.065370,0
279,13.367893,2.878033,278.177099,2.003932,3.479752,-2.878033,0
280,60.198240,2.836629,227.590402,1.789200,2.067395,-2.836629,0
281,32.237850,2.878033,172.358429,2.003932,7.013020,-2.878033,0
282,31.406394,2.877838,225.335421,2.020953,4.751866,-2.877838,0
283,53.997024,2.824108,223.313950,1.797004,2.942742,-2.824108,0
284,60.198240,2.122169,223.989468,1.789200,2.480090,-2.122169,0
285,60.428356,2.120980,226.742822,1.621638,2.195869,-2.120980,0
286,91.533036,2.656087,172.564926,2.006762,2.655239,-2.656087,0
287,93.956722,2.819431,172.564926,2.350020,2.933955,-2.819431,0
288,32.411404,2.878033,170.118987,2.004842,7.068977,-2.878033,0
289,60.198240,2.820898,172.599579,1.785168,5.057025,-2.820898,0
290,27.258766,2.822519,181.788863,1.797004,6.912123,-2.822519,0
291,93.956722,2.119512,171.723965,1.635509,2.568516,-2.119512,0
292,54.657191,2.142765,224.643292,1.795349,2.900083,-2.142765,0
293,54.288006,2.815876,171.740113,1.047048,4.555468,-2.815876,0
294,13.367893,2.748586,278.177099,2.003932,3.235715,-2.748586,0
295,46.468611,2.262327,230.419423,1.879155,3.220679,-2.262327,0
296,60.370070,1.730175,222.009256,1.789200,2.713333,-1.730175,0
297,31.406394,2.821295,170.619687,1.624252,6.948429,-2.821295,0
298,54.960331,2.820898,172.406124,1.785168,5.443512,-2.820898,0
299,61.259812,2.266878,175.141304,1.408842,4.788979,-2.266878,0
300,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980,1
301,93.956722,2.819431,172.564926,1.415354,0.403684,-2.819431,0
302,32.237850,2.938189,270.507128,2.021888,2.062783,-2.938189,0
303,95.743580,2.878152,171.290026,1.532342,0.447515,-2.878152,0
304,82.141717,2.254594,224.304274,1.818762,0.395324,-2.254594,0
305,32.364590,2.879233,278.177099,2.003905,1.548141,-2.879233,0
306,95.652929,2.751073,203.615537,2.125863,0.412730,-2.751073,0
307,32.237850,2.890777,172.358429,2.003932,7.034074,-2.890777,0
308,32.237850,2.915714,172.358429,2.345139,7.153253,-2.915714,0
309,60.370070,2.890469,222.009256,1.997326,2.438038,-2.890469,0
310,46.009516,2.878033,273.091444,1.982133,0.467999,-2.878033,0
311,45.959518,2.878034,225.089136,2.220425,3.605878,-2.878034,0
312,15.793779,2.879126,278.177099,1.412524,4.337100,-2.879126,0
313,45.811683,2.878033,273.070702,1.982133,0.499287,-2.878033,0
314,32.237850,2.878033,278.177099,2.003932,1.540647,-2.878033,0
315,93.956722,2.819431,172.564926,1.631477,1.038226,-2.819431,0
316,164.798659,1.047433,220.185199,2.520672,0.547553,-1.047433,0
317,52.282150,2.260626,254.696826,1.879475,0.947688,-2.260626,0
318,32.364590,2.129289,278.177099,2.001425,0.565832,-2.129289,0
319,164.798659,1.047402,220.185199,2.516932,0.512759,-1.047402,0
320,82.141717,2.254594,224.304274,2.121331,0.667288,-2.254594,0
321,32.237850,2.824395,278.985904,2.003932,1.405107,-2.824395,0
322,91.533036,2.656087,172.564926,1.408163,0.994324,-2.656087,0
323,32.040017,2.878033,278.156357,2.003932,1.542769,-2.878033,0
324,93.956722,2.772810,172.564926,1.631477,1.173458,-2.772810,0
325,32.364590,2.129289,278.177099,1.998438,0.588793,-2.129289,0
326,31.406394,1.717208,274.925139,1.805313,0.584918,-1.717208,0
327,164.798659,1.047402,220.185199,2.520672,0.542896,-1.047402,0
328,159.881894,1.042803,220.185199,2.520672,0.525674,-1.042803,0
329,82.141717,2.254594,224.304274,2.117591,0.681027,-2.254594,0
330,31.406394,2.877838,276.284175,2.013438,1.739834,-2.877838,0
331,31.158504,2.878033,275.758392,2.013438,1.762700,-2.878033,0
332,32.176725,2.838000,272.164763,2.119685,1.725161,-2.838000,0
333,52.612173,2.296223,244.520966,1.799722,1.658502,-2.296223,0
334,32.237850,2.128061,278.177099,2.001452,0.618394,-2.128061,0
335,168.591898,1.047402,220.185199,2.513234,0.613451,-1.047402,0
336,95.652929,2.203588,205.217146,2.125863,1.085883,-2.203588,0
337,32.195291,2.187061,278.034372,1.870226,0.904993,-2.187061,0
338,31.406394,2.878033,274.925139,2.013438,1.832943,-2.878033,0
339,32.237850,2.837172,273.526034,2.003932,1.737242,-2.837172,0
340,46.672593,2.120980,264.879506,1.789200,0.634149,-2.120980,0
341,60.428356,2.178551,236.855503,1.621638,1.494358,-2.178551,0
342,31.406394,2.878033,274.925139,1.982133,1.866250,-2.878033,0
343,29.619539,2.819311,276.200040,2.046025,1.839975,-2.819311,0
344,167.443072,1.047402,220.185199,2.520672,0.636865,-1.047402,0
345,46.141704,1.065370,246.760408,1.798811,1.404388,-1.065370,0
346,45.166570,2.120980,253.280352,1.789200,1.613804,-2.120980,0
347,167.443072,1.047402,220.185199,2.519498,0.643441,-1.047402,0
348,32.237850,2.878033,270.507128,2.003932,2.055387,-2.878033,0
349,46.620818,1.065370,246.760408,1.798811,1.416507,-1.065370,0
350,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980,1
351,95.743580,2.878152,171.290026,1.532342,0.447515,-2.878152,0
352,46.672593,2.889344,264.879506,1.786557,1.068684,-2.889344,0
353,32.237850,2.938189,273.077958,2.341326,1.502980,-2.938189,0
354,95.743580,2.878031,171.290026,1.532342,0.436316,-2.878031,0
355,32.237850,2.938665,270.507128,2.021888,2.058551,-2.938665,0
356,45.817162,2.831200,273.526034,2.003932,0.348006,-2.831200,0
